"Player Id","Ign","Team"
29510,"나 연","Kennedy Val"
32702,"서 르","ClanMayheM"
34524,"순 무","g1 company"
34586,"시 움","쨈준TV"
24750,"오 잉","ARAV Esports"
13869,"태 훈","Cosmos"
16072,"태 훈 #죄","Team Vision"
22848,"박 봉 균","Team Inv"
22785,"Ａ Ｍ ＡＴＥＲＡＳＵ","MoonNight Esport"
22844,"저 아빠 있어요","Never Surrender"
22701,"거 도구좀 합시다","LEVEL UP"
4207,"헬 레이저 인민의 군주",""
37064,"ˇˇˇ","RevenantVAL"
34266,"かず","AriaSheeP"
33925,"미스 유","Amity Esports GC"
13791,"삥빵 뽕",""
7471,"제트 고","Team Vice"
24763,"청아 나 죽어","BAG"
22822,"너랑 바라본","miracle victory"
9983,"제트 사용자","WOLFPACK"
18834,"칸나 카무이","FUG"
24716,"나만 잘하면 이긴다","MCC"
34357,"ธชต","Jeandang"
26655,"ちゃそ","Amie Adapt"
34279,"とろろ","PASSWORD"
19163,"なさん","RaVe"
34315,"なわゆ","Citrus e-sports"
31768,"ぬっこ","PASSWORD"
9714,"ひよこ","Cerberus E-Sports (BR)"
26656,"んてゃ","Amie Adapt"
22767,"ナルト","Alternative"
20419,"バナナ","Intellectually Challenged Gamers"
13049,"バーン",""
34381,"プリン","Team Genaral"
13871,"レイズ","STZA"
22818,"강현아","nice try"
18841,"겸손한",""
31953,"고세구","라이프치히"
23815,"나이라","Zenix Esports White"
24738,"다람좌","Imaginary Savior"
22832,"단하나","MCC"
29711,"디오고","Atlanta"
24749,"때껄룩","Not Decide"
22728,"또잉또","No Smoke"
22812,"라우라","Acris Esports"
12063,"린지훈","Saber"
18862,"믐기도","레.스.고"
34543,"백선우","ArcticFox"
32407,"버스충","Lost Winter"
31982,"송장군","Team summit"
9806,"순풍맨",""
15776,"아이유","WHAAN WHAAN Esport"
32820,"에스민","DFI Academy"
22727,"왕구름","No Smoke"
22901,"워닝곰","1TK"
31978,"유창우","TurningMecard"
34530,"윤찬영","승현짱짱12"
18917,"이거봐","CAL Golden Bears"
24744,"정태풍","Never Miss"
24561,"제이홉",""
34584,"주르르","Club Of Cowards VLRT"
34583,"징버거","Club Of Cowards VLRT"
29221,"타로차","CCNY Varsity"
8363,"ｈｚｎ","TROPA DO PHOTOSHOP"
22826,"비둘기 박","miracle victory"
22909,"이웃집 후추",""
24761,"사랑해 예원아","Lone Way E-SPORTS"
24718,"준바의 자리를 탐하는자","MCC"
31997,"광룡파 에임도둑","LDN"
31996,"광룡파 틀니도둑","LDN"
25026,"ซามะ","INTEND"
25245,"ฟาไถ","2V5"
6906,"มงคล","Genesis.VLR"
31368,"ๅˇˉˇๅ","Tufts VaLULrant"
34231,"あけぼの","Ready"
23135,"こころん","looking for a name"
15584,"だびたそ","Straight Warfare"
31782,"とちくる","AIGIS"
31772,"はるさめ","Graces Blaze Xross"
15565,"またきち","GEKO GEKO GAMING"
15644,"りーさん","NeoAimer"
25356,"アバスク","Kaizuka"
3706,"タイノコ","EGYX"
2869,"プライム","Space Cheaters"
31429,"ペンギン","ZXN"
31977,"고슴도치","No No No"
15373,"골플다는","Tail Nine Esports"
18865,"농민봉기","VVS"
32403,"라틴팽어","Lost Winter"
13998,"박사아들","sadHours"
32811,"시키모리","귀여운 시키모리양"
22709,"심신미약","PC"
31999,"여응로기","LDN"
34585,"제트스키","쨈준TV"
22708,"준또바기","PC"
31970,"중얼중얼","Lone Way Esports Female"
32810,"하치미츠","귀여운 시키모리양"
18835,"형준이형","이사가자"
24745,"소영이의 개","Never Miss"
28913,"อทตยช","Shawty Esports"
31793,"うさぴょん","Nelo"
31833,"きらきらお","Acris"
34182,"さようなら","WD-40 PEEK"
15551,"そうちゃん","Atsumatte Mita"
25076,"ですごっと","Savior e-sports"
18385,"ふらじろう","ほんとにぃ↑"
24543,"みなとねこ","TiAMAT"
25367,"ディーゼル","EXO Clan GC"
31995,"굿거리장단","CCF"
24742,"기특한하마","Never Miss"
27429,"마코토카미","Awaken (Eu)"
3059,"맥아더제리","No Mercy"
34587,"유진의노예","쨈준TV"
22719,"이제중학생 잼민이탈출","Alpha Six Gaming"
28934,"วอนยอง","47 Gaming"
33846,"แมวววว","CIINX"
31832,"りゅうのすけ","Acris"
33993,"ストライカー","RAVEN"
15566,"ヨキジェット","GEKO GEKO GAMING"
6065,"レジリエンス","R6 Players"
31991,"자진모리장단","CCF"
22691,"힝구르르르르","Team GHOST"
6780,"ＥＳＴＨＥＲ","PasswordTodayDate"
527,"หมวงฟาง",""
31872,"あんびザウルス","ElBlast"
265,"くりあくりーん","NEXUS (JP)"
26659,"れいとうみかん","Amie Adapt"
24689,"칙칙폭폭제임스","Team T5"
33858,"ตาแรกวอม","bemyteam"
34272,"あくびテロリスト","re-:vil esports"
26740,"くらえねこぱんち","TZ Gaming"
25123,"ねこがねころんだ","HOP e-Sports"
30759,"ゴブリンスレイヤ","Friday In Hookah"
31955,"돼지고기김치찌개","GFS"
22791,"이토히로부비부빗",""
1885,"커여운애긔븝미짱","Team Rover"
37450,"ＧＡＢＩＭＡＲＵ","Ensalada de atun"
282,"ちょーんぼらけっけ","Soabh"
26705,"とっとこさぶたろー","qNo1"
34545,"발로란트재활치료중","SAV"
28957,"กระเพราหอม","Gengaon Esport"
34566,"탕탕특공대프로지망생","Version_Z"
31984,"나보다못하면프로하지마","Team summit"
37273,"ออมแอมเดอะแจก","bemyteam"
24751,"무지성제트칼픽보면요루박음","Not Decide"
34589,"어떤상황이라도치치치침착하게","쨈준TV"
34529,"터무니없는스킬로이세계방랑밥","승현짱짱12"
22718,"양로원홍삼캔디푸드파이터유창우","INS4NE"
24747,"역곡동최고의고졸백수돼지정지원","Not Decide"
25244,"ราฟาเอลงายยยยยยย","2V5"
31979,"버블파이터프로지망다오장인조민혁","Gang Gang Gang"
31959,"억까못할정도로잘해져서다패버린다","EaFc"
31944,"이웃집후추넘버원수제자이웃집네코","White Prince"
32829,"한국서버개망함칼픽하면게임던질게","SFTM CLUB"
24792,"ＳＳＳＳＳＳＳＳＳＳＳＳＳＳＳＳ","roar"
36987,"001","Midnight Sun Gaming"
8205,"002","Enigma (BR)"
37824,"002",""
22500,"002","Lumsum"
7523,"007kof","Los buhos"
21402,"01000010",""
23633,"0101010101010101","Usepticals"
3390,"04","kekW"
11850,"05C47",""
8682,"0 adr","16const"
24571,"0dd","FLEX"
27668,"0Din EnJoyer",""
32497,"0Eleven11","DYING MESSAGE ESPORT"
16391,"0iqKid","Try to Hard"
18867,"0livertwix","BB Team!"
5961,"0lleb4r","Bertzz+4"
28151,"0maD","VP"
22470,"0mbre","Dream Life Esport"
17163,"0n1y","KeepBest Gaming"
27321,"0nCi","Polar Sun"
522,"0ng0wa","Rainbow7"
473,"0nly","K7 Esports"
2410,"0nuqtive","zazemlenie"
37772,"0nyx","Pakurot"
32011,"0Oo0oOo0oO0oO","TEAM MA"
15675,"0PZ",""
11807,"0wenM","Subway Surfers"
36291,"0xiD","Respect Team eSports"
5148,"0zk4r","SNOWY OWLS"
3071,"10002","4Q"
31060,"100qn","UniversaL-"
21376,"100SkiLLxD","Fakezinn"
12303,"101Y0U","Humanity Esport"
31689," 1071926","Team GonGDi"
8958,"10bit",""
1400,"10K","Akroma"
13731,"10UREXEC","COMEBACK E-SPORTS"
